,0,1,2,3,4,5,6,7,8,9
87,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0
88,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0
89,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
90,0.0,3.0,1.0,1.0,1.0,-0.0,2.0,2.0,1.0,0.0
91,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
92,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0
93,2.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0
94,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
95,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
96,1.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0
97,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0
98,2.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0
99,0.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0
100,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
101,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0
102,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
103,0.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0
104,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0
105,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0
106,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,3.0
107,-0.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
108,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0
109,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
110,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
111,0.0,2.0,2.0,1.0,-0.0,0.0,1.0,1.0,0.0,0.0
112,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
113,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,-0.0
114,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
115,0.0,2.0,2.0,1.0,1.0,-0.0,2.0,2.0,1.0,1.0
116,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
117,1.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0
118,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-0.0,2.0
119,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0
120,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
122,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
123,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
124,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0
125,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0
126,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0
127,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
128,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
129,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
130,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0
131,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
132,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
133,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
134,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0
135,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0
136,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0
