,0,1,2,3,4,5,6,7,8,9
226,2.0,3.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0
227,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
228,1.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0
229,1.0,2.0,1.0,1.0,2.0,-0.0,2.0,3.0,1.0,2.0
230,3.0,3.0,2.0,2.0,2.0,0.0,1.0,4.0,1.0,1.0
231,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
232,1.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,-0.0,2.0
233,2.0,2.0,0.0,2.0,1.0,2.0,-0.0,3.0,-0.0,2.0
234,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
235,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
236,1.0,2.0,1.0,2.0,2.0,-0.0,2.0,1.0,1.0,1.0
237,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
238,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0
239,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0
240,2.0,3.0,1.0,-0.0,2.0,-0.0,1.0,2.0,2.0,1.0
241,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,-0.0,1.0
242,1.0,3.0,1.0,1.0,-0.0,1.0,2.0,3.0,0.0,3.0
243,1.0,4.0,2.0,-0.0,1.0,1.0,0.0,2.0,2.0,1.0
244,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0
245,1.0,3.0,2.0,-0.0,2.0,1.0,2.0,4.0,1.0,2.0
246,1.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0
247,-0.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
248,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
249,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
250,-0.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0
251,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0
252,2.0,2.0,-0.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0
253,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0
254,2.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0
255,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
256,0.0,3.0,2.0,1.0,1.0,1.0,-0.0,3.0,2.0,1.0
257,1.0,2.0,0.0,-0.0,-0.0,0.0,2.0,2.0,2.0,2.0
